                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.38592,                0.11778,                0.29613,                0.78954,                 0.8127,                0.84396,                0.83031,                0.55108,                0.86812,                0.81465,                0.85732,                0.50513,                 1.0413,                 1.5041,                  1.496,                0.94261,              0.0015248,              0.0015248,              0.0015248
                     26,                0.38916,                0.10952,                0.29511,                 0.7989,                0.90034,                0.95652,                0.96276,                0.70099,                0.90503,                0.93822,                0.95688,                0.61758,                0.82246,                 1.2553,                0.65739,                0.83659,               0.001505,               0.001505,               0.001505
                     27,                0.38079,                0.09565,                0.29231,                0.79223,                0.85231,                0.91123,                0.87757,                0.58256,                0.85874,                 0.9181,                0.89981,                0.55219,                0.94213,                 1.2796,                0.74149,                0.87416,              0.0014852,              0.0014852,              0.0014852
                     28,                0.37346,                0.09015,                0.28446,                0.79327,                0.91706,                0.97483,                0.96936,                0.70931,                0.92203,                0.97423,                0.98022,                0.66264,                0.86891,                 1.2193,                0.51352,                0.85348,              0.0014654,              0.0014654,              0.0014654
                     29,                0.34319,                0.08275,                0.26897,                0.79025,                 0.9111,                0.95423,                0.95561,                0.69271,                0.93363,                 0.9657,                0.97018,                0.63862,                0.86235,                 1.5794,                0.59943,                0.85582,              0.0014456,              0.0014456,              0.0014456
                     30,                0.36091,                0.08359,                0.27029,                0.79304,                0.91145,                 0.9611,                0.94944,                0.68299,                0.91145,                 0.9611,                0.96466,                0.62625,                0.83804,                 1.4794,                0.64536,                0.84305,              0.0014258,              0.0014258,              0.0014258
                     31,                0.33695,                0.07316,                0.26161,                0.78523,                0.89245,                 0.9611,                0.97415,                0.73075,                0.91325,                0.95652,                0.97128,                0.63777,                0.81318,                 1.4877,                0.80222,                 0.8426,               0.001406,               0.001406,               0.001406
                     32,                0.32686,                0.06629,                0.26195,                0.78578,                 0.8932,                0.93364,                0.92602,                0.67198,                0.92962,                0.93702,                0.95521,                0.60618,                0.88075,                 1.4502,                0.59223,                0.87629,              0.0013862,              0.0013862,              0.0013862
                     33,                0.31898,                0.07905,                0.25367,                0.77898,                  0.921,                0.95423,                0.97617,                0.72431,                0.92494,                0.94966,                  0.971,                0.64432,                0.80636,                 1.1665,                0.51382,                0.84165,              0.0013664,              0.0013664,              0.0013664
                     34,                0.31577,                0.05208,                0.25281,                0.78613,                0.90477,                0.94966,                0.97065,                0.71955,                0.91825,                0.94966,                0.97107,                0.63776,                0.85481,                 1.6058,                0.58425,                0.85154,              0.0013466,              0.0013466,              0.0013466
                     35,                0.30217,                0.05833,                0.23768,                0.77938,                0.94306,                0.94966,                0.97805,                0.72947,                0.94707,                0.95195,                0.97334,                0.64115,                0.87553,                 1.7776,                 0.5693,                0.86906,              0.0013268,              0.0013268,              0.0013268
                     36,                0.30519,                0.05267,                0.24271,                0.77138,                0.91003,                0.93822,                0.95794,                0.70824,                 0.9239,                0.94456,                0.95384,                0.62201,                0.85057,                  1.481,                0.54015,                0.85166,               0.001307,               0.001307,               0.001307
                     37,                0.29559,                0.04385,                0.23384,                 0.7764,                0.88963,                0.96568,                0.96959,                0.71755,                0.91117,                0.95195,                0.96881,                 0.6417,                0.82656,                 1.4556,                0.55195,                0.84692,              0.0012872,              0.0012872,              0.0012872
                     38,                0.28137,                0.03829,                0.22686,                0.76982,                0.91403,                0.94737,                 0.9539,                0.66998,                0.92314,                0.93446,                0.96132,                0.61564,                0.84962,                 1.6173,                0.94834,                0.84531,              0.0012674,              0.0012674,              0.0012674
