                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6485,                 4.1579,                 24.859,                 1.6982,                0.00019,                0.24762,                0.00013,                  5e-05,                0.00018,                0.23238,                0.00012,                  4e-05,                 2.5896,                 3.4543,                 10.159,                 1.6463,             0.00066438,             0.00066438,             0.00066438
                      2,                  2.396,                 3.5186,                  8.025,                 1.5232,                0.00061,                0.37524,                0.00315,                 0.0012,                0.00058,                 0.3619,                0.00346,                0.00109,                  2.444,                 3.4298,                 5.7447,                 1.5676,              0.0008918,              0.0008918,              0.0008918
                      3,                 2.1026,                 3.1163,                 4.9558,                 1.3823,                0.39236,                0.05333,                 0.0875,                0.04036,                0.38918,                0.05524,                 0.0893,                0.03763,                  2.164,                 3.0265,                 3.4823,                  1.338,             0.00067922,             0.00067922,             0.00067922
